filename,category,target_path
PII: 0013-7952(79)90078-4.pdf,other,/workspace/papers_by_topic/other/PII: 0013-7952(79)90078-4.pdf
Power_law_distribution_and_multi-scale_analysis_in 2.pdf,grain_distribution,/workspace/papers_by_topic/grain_distribution/Power_law_distribution_and_multi-scale_analysis_in 2.pdf
Power_law_distribution_and_multi-scale_analysis_in.pdf,grain_distribution,/workspace/papers_by_topic/grain_distribution/Power_law_distribution_and_multi-scale_analysis_in.pdf
P-RAT测试与循环试验数据分析：剪切波速与能量耗散.pdf,other,/workspace/papers_by_topic/other/P-RAT测试与循环试验数据分析：剪切波速与能量耗散.pdf
Prediction of spatiotemporal stability and rai.pdf,other,/workspace/papers_by_topic/other/Prediction of spatiotemporal stability and rai.pdf
Propagation velocity of landslide-induced liquefaction and entrainment of overridden loose, saturated sediments.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Propagation velocity of landslide-induced liquefaction and entrainment of overridden loose, saturated sediments.pdf
Rapid fluvial remobilization of sediments depo.pdf,other,/workspace/papers_by_topic/other/Rapid fluvial remobilization of sediments depo.pdf
Rates of surface processes on slopes, slope retreat and denudation.pdf,slope,/workspace/papers_by_topic/slope/Rates of surface processes on slopes, slope retreat and denudation.pdf
Rock_Slope_Stability_Prediction_A_Review_of_Machin.pdf,review_general,/workspace/papers_by_topic/review_general/Rock_Slope_Stability_Prediction_A_Review_of_Machin.pdf
Role of slope on infiltration: A review.pdf,review_general,/workspace/papers_by_topic/review_general/Role of slope on infiltration: A review.pdf
Scaling law of static liquefaction mechanism in geocentrifuge and corresponding hydromechanical characterization of an unsaturated silty sand having a viscous pore fluid.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Scaling law of static liquefaction mechanism in geocentrifuge and corresponding hydromechanical characterization of an unsaturated silty sand having a viscous pore fluid.pdf
SchemaGAN: A conditional Generative Adversarial Network for geotechnical subsurface schematisation.pdf,modeling_ml,/workspace/papers_by_topic/modeling_ml/SchemaGAN: A conditional Generative Adversarial Network for geotechnical subsurface schematisation.pdf
Simultaneous fall and flow during pyroclastic 2.pdf,other,/workspace/papers_by_topic/other/Simultaneous fall and flow during pyroclastic 2.pdf
Simultaneous fall and flow during pyroclastic.pdf,other,/workspace/papers_by_topic/other/Simultaneous fall and flow during pyroclastic.pdf
SLOPE MOVEMENT TYPES AND PROCESSES.pdf,slope,/workspace/papers_by_topic/slope/SLOPE MOVEMENT TYPES AND PROCESSES.pdf
Static liquefaction behaviour of gold mine tailings.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Static liquefaction behaviour of gold mine tailings.pdf
Static liquefaction mechanisms in loose sand fill slopes.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Static liquefaction mechanisms in loose sand fill slopes.pdf
Static Liquefaction of Soils and Tailings.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Static Liquefaction of Soils and Tailings.pdf
Static liquefaction of very loose sandâ€“slagâ€“bentonite mixtures.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/Static liquefaction of very loose sandâ€“slagâ€“bentonite mixtures.pdf
Tese_Erick_Rogenes_REV_03.pdf,other,/workspace/papers_by_topic/other/Tese_Erick_Rogenes_REV_03.pdf
The Undrained Shear Behavior of Reinforced Clayey Sand.pdf,liquefaction,/workspace/papers_by_topic/liquefaction/The Undrained Shear Behavior of Reinforced Clayey Sand.pdf
Viscous compression of clay and peat.pdf,clay_rheology,/workspace/papers_by_topic/clay_rheology/Viscous compression of clay and peat.pdf
What defines a “site” in geotechnical engineering?: A comparative study between local and global big indirect databases.pdf,other,/workspace/papers_by_topic/other/What defines a “site” in geotechnical engineering?: A comparative study between local and global big indirect databases.pdf
Zelazny Most尾矿材料的液化潜力评估.pdf,other,/workspace/papers_by_topic/other/Zelazny Most尾矿材料的液化潜力评估.pdf
地震引发的海底滑坡研究及相关数据分析.pdf,other,/workspace/papers_by_topic/other/地震引发的海底滑坡研究及相关数据分析.pdf
 基于深度学习的边坡位移预测与早期预警方法.pdf,other,/workspace/papers_by_topic/other/ 基于深度学习的边坡位移预测与早期预警方法.pdf
尾矿坝物理稳定性分析：稳态概念与材料特性.docx.pdf,other,/workspace/papers_by_topic/other/尾矿坝物理稳定性分析：稳态概念与材料特性.docx.pdf
液化抗力与剪切波速.pdf,other,/workspace/papers_by_topic/other/液化抗力与剪切波速.pdf
液化敏感性与地基失效相关研究的参考资料摘录.pdf,other,/workspace/papers_by_topic/other/液化敏感性与地基失效相关研究的参考资料摘录.pdf
砂土在平面应变和三轴条件下的液化行为实验研究.pdf,other,/workspace/papers_by_topic/other/砂土在平面应变和三轴条件下的液化行为实验研究.pdf
砂土液化不变性理论在循环荷载作用下.pdf,other,/workspace/papers_by_topic/other/砂土液化不变性理论在循环荷载作用下.pdf
